# k=1000 a=1 N=1100 h=1.0000000000000001e-05 scheme=centered
# theta Re(fd) Im(fd) Re(exact) Im(exact) abs_error
0.15707963267948966 1860.236902507628 664.46247159455129 1860.2671375772788 664.47330412912629 0.032117024178955844
0.47123889803846897 -1665.0466193160185 634.9158068338744 -1665.0686550759194 634.92419589625774 0.023578614931436707
0.78539816339744828 -345.79826945666525 -1371.2892425989385 -345.80116723023554 -1371.3006657813989 0.011784998480693551
1.0995574287564276 907.87841069773231 -22.736558530267455 907.88152733764639 -22.73668259269564 0.0031191081802563561
1.4137166941154069 -216.72976050374214 243.12372347086162 -216.72979881049639 243.12385337269941 0.00013543225200655676
1.727875959474386 -12.860678155940384 -4.1263790772960718 -12.860675952018415 -4.1263713696288793 8.0165706880979704e-06
2.0420352248333655 0.090786920223934184 0.016952770326428279 0.090786901666253167 0.016952715961561338 5.7444984831546337e-08
2.3561944901923448 -0.00058834907501470468 2.5955597393600979e-05 -0.00058834965482976057 2.5959294472125053e-05 3.7422687119179605e-09
2.6703537555513241 3.6270209058386622e-06 -1.014166528534588e-06 3.6278683600702504e-06 -1.0139236487050876e-06 8.8157205389851869e-10
2.9845130209103035 -2.2762347562377269e-08 1.2001510896197941e-08 -2.1018448783315874e-08 1.1466997769787596e-08 1.8239756670297949e-09
