# k=10 a=1 N=15 h=1e-08 scheme=centered
# theta Re(fd) Im(fd) Re(exact) Im(exact) abs_error
0.062831853071795868 4.4611935312577344 9.0777647621109736 4.4611935640342812 9.0777648295780047 7.5007348323937371e-08
0.18849555921538758 2.9569610870971985 9.524753058487434 2.9569610731960894 9.5247531132239711 5.647414742390203e-08
0.31415926535897931 -0.2313915725693505 9.6999330977121101 -0.23139157549467504 9.6999330810663213 1.690088183131444e-08
0.43982297150257105 -4.4693446887844601 8.1651110289682194 -4.4693447223573752 8.1651110725263045 5.4994976227396195e-08
0.56548667764616278 -7.8790325763744562 3.786009528106149 -7.8790326157648742 3.7860095513006038 4.5712008999524079e-08
0.69115038378975446 -7.7649093016551873 -2.5504488798677727 -7.7649092957243502 -2.5504488607923057 1.99761925802821e-08
0.81681408993334625 -2.6510364181664414 -7.053777728582844 -2.6510364205174408 -7.0537776887415289 3.9910620014155731e-08
0.94247779607693782 4.2543496114877399 -5.4260771265024488 4.2543496050668033 -5.426077090927679 3.6149587464050865e-08
1.0681415022205298 6.106301386754609 1.3417269739690596 6.1063014164747882 1.3417269793892486 3.0210387294412008e-08
1.1938052083641213 0.79120234253160504 5.6269032933098373 0.79120236033883795 5.626903265339946 3.3157387756128443e-08
1.3194689145077132 -4.6919780505305653 2.2583907355322452 -4.691978013732494 2.2583907094909192 4.5080469243896941e-08
1.4451326206513047 -3.2209951039696705 -3.6588386320701716 -3.2209950905346836 -3.6588386356693996 1.3908749599156839e-08
1.5707963267948966 2.4539039689130959 -3.9323554910739471 2.4539039760871217 -3.9323554720593727 2.0322910335570489e-08
1.6964600329384882 4.3942888272585634 1.066006782846074 4.3942888437695187 1.0660068179655457 3.8807073346005585e-08
1.8221237390820801 0.70205919966426222 4.4152634937066892 0.70205918740876105 4.4152635002199778 1.387876928901504e-08
1.9477874452256716 -3.7056881951880172 2.6934627472829931 -3.7056881853958292 2.6934627289173676 2.0813052240165954e-08
2.0734511513692637 -4.5330222915584972 -1.7700123755570729 -4.5330222630327288 -1.7700124000388229 3.7590897099515928e-08
2.1991148575128552 -1.4263325132102267 -5.2657573190728613 -1.4263324841064282 -5.2657573047833433 3.2422544797584254e-08
2.3247785636564471 3.5575862533665514 -5.2123151461636041 3.5575862499290114 -5.2123151045188312 4.1786406840450712e-08
2.4504422698000385 7.2366869385831478 -1.1666246413355452 7.2366869737087463 -1.1666246183787576 4.1962146765191872e-08
2.57610597594363 7.0551186837075619 4.449301282960505 7.055118651500969 4.4493012829113443 3.2206630467925901e-08
2.7017696820872219 3.4604660414938593 8.3938101247404973 3.4604660125941709 8.3938101095130797 3.2665979795428768e-08
2.8274333882308138 -0.82300322112871527 9.5795518843810878 -0.82300322063072262 9.5795518617399047 2.264665916052278e-08
2.9530970943744057 -3.8360773113588209 9.0953360620815715 -3.8360773265133137 9.0953361054984718 4.5985713896666759e-08
3.0787608005179972 -5.2640505454615294 8.422535696661626 -5.2640506086048831 8.4225357571341988 8.74300586942127e-08
3.2044245066615891 -5.2640505510126445 8.422535696661626 -5.2640506086048866 8.4225357571341952 8.3509268773583693e-08
3.330088212805181 -3.8360773224610512 9.0953361425727408 -3.8360773265132995 9.0953361054984789 3.7295061476708059e-08
3.4557519189487724 -0.8230032044753699 9.5795518871566454 -0.8230032206307355 9.5795518617399047 3.0116549372782518e-08
3.5814156250923639 3.4604660359427442 8.3938101358427275 3.4604660125941207 8.3938101095130921 3.5191020397312405e-08
3.7070793312359558 7.0551186948097921 4.4493012885116201 7.0551186515009565 4.4493012829113825 4.3669416125963963e-08
3.8327430373795477 7.2366869927065203 -1.1666246635400057 7.236686973708756 -1.1666246183787474 4.8994431282847175e-08
3.9584067435231396 3.5575862256109758 -5.2123151017546832 3.5575862499290158 -5.2123151045188276 2.4474631056598123e-08
4.0840704496667311 -1.4263325021079964 -5.2657573024195159 -1.4263324841064051 -5.265757304783353 1.8156128891476281e-08
4.209734155810323 -4.5330222915584972 -1.7700123755570729 -4.5330222630327288 -1.7700124000388229 3.7590897099515928e-08
4.3353978619539149 -3.7056881951880172 2.6934627472829931 -3.7056881853958292 2.6934627289173676 2.0813052240165954e-08
4.4610615680975068 0.70205920521537735 4.4152635103600346 0.70205918740877704 4.4152635002199734 2.049136052796853e-08
4.5867252742410978 4.3942888605652541 1.0660067994994193 4.3942888437695151 1.0660068179655628 2.4961877036180826e-08
4.7123889803846897 2.4539039689130959 -3.9323554910739413 2.4539039760871324 -3.932355472059367 2.0322914097916898e-08
4.8380526865282816 -3.2209950928674402 -3.6588385876612506 -3.220995090534676 -3.6588386356694049 4.8064796598365609e-08
4.9637163926718735 -4.6919780505305653 2.2583907299811301 -4.6919780137324878 2.2583907094909299 4.2118247947334734e-08
5.0893800988154645 0.79120234253160504 5.6269032766564919 0.79120236033879976 5.6269032653399478 2.1098823549326392e-08
5.2150438049590573 6.106301427694083 1.3417269684179445 6.1063014164747997 1.3417269793892104 1.5692067826670683e-08
5.3407075111026483 4.2543496003855097 -5.4260770460112795 4.2543496050668264 -5.4260770909276603 4.5159672200208681e-08
5.4663712172462393 -2.6510363959619809 -7.0537776564183474 -2.6510364205173969 -7.0537776887415387 4.0592574970529234e-08
5.5920349233898321 -7.7649093016551873 -2.5504488798677727 -7.7649092957243502 -2.5504488607923057 1.99761925802821e-08
5.7176986295334231 -7.8790326485389528 3.7860095836173002 -7.8790326157648911 3.7860095513005665 4.6027278853419941e-08
5.843362335677015 -4.4693447387444962 8.1651111039082735 -4.4693447223573877 8.1651110725262921 3.5402910715776405e-08
5.9690260418206069 -0.23139157812046562 9.6999331115898979 -0.23139157549467204 9.6999330810663213 3.0636310444621448e-08
6.0946897479641988 2.9569610870971985 9.5247530473852038 2.9569610731960863 9.5247531132239711 6.7290298002222877e-08
6.2203534541077907 4.4611935257066193 9.0777647676620887 4.4611935640342804 9.0777648295780029 7.2818885113096267e-08
