# k=10 a=1 N=50 h=1 scheme=centered
# theta Re(fd) Im(fd) Re(exact) Im(exact) abs_error
0.15707963267948966 nan nan -3.7087098780027583 -4.4817753514215708 nan
0.47123889803846897 nan nan 5.2384631110452426 -2.425997442785417 nan
0.78539816339744828 nan nan 4.0414301215818895 11.312442550966459 nan
1.0995574287564276 nan nan -5.5613939105456716 1.950147158025697 nan
1.4137166941154069 nan nan 4.0619578102762608 7.4072209398084485 nan
1.727875959474386 nan nan -4.0819493748364559 2.6075867477095902 nan
2.0420352248333655 nan nan 4.4841046117997125 5.5230197554929372 nan
2.3561944901923448 nan nan -5.0148238726408847 9.4404447398668676 nan
2.6703537555513241 nan nan -4.7979784160582097 -2.7473987931608228 nan
2.9845130209103035 nan nan 4.116148607432347 -3.9618288685975354 nan
