# k=10 a=1 N=50 h=1.0000000000000001e-05 scheme=centered
# theta Re(fd) Im(fd) Re(exact) Im(exact) abs_error
0.15707963267948966 3.4633703630382313 9.4065476231447445 3.4633703653387018 9.4065476386139881 1.5639362645676647e-08
0.47123889803846897 -5.4838026157966171 7.3507697218450065 -5.4838026237092992 7.3507697299778334 1.134695598564269e-08
0.78539816339744828 -4.2867696306625458 -6.3876702603105064 -4.2867696342459469 -6.3876702637740426 4.9836579090641057e-09
1.0995574287564276 5.3160543964800295 2.9746251318518708 5.3160543978816142 2.9746251291667174 3.0289417991484306e-09
1.4137166941154069 -4.3072973231876928 -2.4824486569263726 -4.3072973229403191 -2.4824486526160303 4.3174349473966827e-09
1.727875959474386 3.8366098612377124 2.3171855428216759 3.8366098621723972 2.3171855394828249 3.4672123456581368e-09
2.0420352248333655 -4.7294441214776324 -0.59824746976300247 -4.7294441244637691 -0.59824746830052522 3.3250341242562614e-09
2.3561944901923448 4.7694843550050159 -4.5156724485073685 4.7694843599768273 -4.5156724526744538 6.4871803525550832e-09
2.6703537555513241 4.552638897781236 7.6721710702554171 4.5526389033941523 7.6721710803532384 1.1552957366363629e-08
2.9845130209103035 -4.3614881131248673 8.8866011412613855 -4.3614881200964035 8.8866011557899522 1.6114638394831358e-08
