# k=10 a=1 N=50 h=0.0001 scheme=centered
# theta Re(fd) Im(fd) Re(exact) Im(exact) abs_error
0.031415926535897934 4.6227986103231089 9.0147231100096139 -4.8681385499884442 -4.089952406583957 16.180556497728677
0.094247779607693788 4.2399423825051352 9.1615778665127259 -4.4852822564389925 -4.2368071580791238 15.988941999621014
0.15707963267948966 3.4633701318731447 9.4065460773523615 -3.7087098780027583 -4.4817753514215708 15.630873416959229
0.21991148575128552 2.2815201060072399 9.6518166472850382 -2.5268596707971298 -4.7270458777700597 15.161536979884826
0.28274333882308139 0.70188299075124583 9.7527016095125258 -0.94722233590246518 -4.8279307535681326 14.673594940767334
0.34557519189487723 -1.221728865601901 9.5275740779046654 0.97638975501692893 -4.6028030773650546 14.300324612416308
0.40840704496667313 -3.3595823364135358 8.7818470868765424 3.1142434442853375 -3.8570758755953207 14.200450481943871
0.47123889803846891 -5.4838018358249752 7.3507689256949167 5.2384631110452382 -2.4259974427854183 14.510414405341077
0.53407075111026492 -7.2677005193111377 5.1603029459484917 7.0223618792486224 -0.23553115269417435 15.274845628509848
0.59690260418206065 -8.3222060924706405 2.2953715839441058 8.0768674364278148 2.629400520669777 16.402475055210054
0.6597344572538566 -8.2791600241148569 -0.94782918676705741 8.0338212556499009 5.8726015588406915 17.68139230348071
0.72256631032565233 -6.9153859377360511 -4.0584279576250104 6.6700469899192489 8.9832005153583285 18.832101875763911
0.78539816339744828 -4.2867692684644965 -6.3876699048986962 4.0414301215818895 11.312442550966459 19.561515432875893
0.84823001646924412 -0.81688463455908966 -7.3161941542310149 0.57154531620212801 12.240966806478042 19.606383719881979
0.91106186954104007 2.7242259439902439 -6.4811403259308618 -2.9695653801685653 11.405912941966184 18.771412686626771
0.9738937226128358 5.3922107132120534 -3.9844986993597953 -5.6375502214243109 8.9092712799976539 16.967761506922763
1.0367255756846319 6.3722026283349882 -0.47604046542248923 -6.6175421979787838 5.4008130314889966 14.25730962267798
1.0995574287564276 5.3160542543723155 2.9746253959672675 -5.5613939105456716 1.950147158025697 10.92558621953502
1.1623892818282235 2.5596080912781982 5.2209310184897495 -2.8049478627421909 -0.29615851965234896 7.6952412279078422
1.2252211349000193 -0.91839646006119935 5.4860945540308181 0.67305658794852208 -0.56132219040283859 6.253316886651116
1.288052987971815 -3.8316864773774162 3.715810264980357 3.5863465900206597 1.2089618945443388 7.8301662397020051
1.350884841043611 -5.0999152632380529 0.64609723325170787 4.8545754957159657 4.278674725130835 10.596579896580208
1.4137166941154069 -4.3072973409744293 -2.4824490787311859 4.0619578102762608 7.4072209398084485 12.955693916666061
1.4765485471872029 -1.8748478079566588 -4.4495114435494365 1.6295085370038078 9.3742833788109063 14.261059451638973
1.5393804002589986 1.1476356384076958 -4.5673024304490601 -1.3929747521459164 9.4920745934268496 14.287084498108031
1.6022122533307945 3.5622088052805756 -2.9294186223319252 -3.8075479472612401 7.8541910605084908 13.06137635869533
1.6650441064025905 4.5263806001266671 -0.29183713473601713 -4.7717199415222895 5.2166097568694578 10.807296648110047
1.7278759594743862 3.8366097709074647 2.3171858759440944 -4.081949374836455 2.6075867477095866 7.9238823572139712
1.7907078125461819 1.8933378755520147 4.0326311323801711 -2.1386776646452259 0.89214131959172538 5.1107558717493102
1.8535396656179779 -0.56976636901850952 4.4242246251638413 0.32442656541361281 0.50054758364109142 4.0242791317403723
1.9163715186897738 -2.8084752812673752 3.5259718128721751 2.5631356320088141 1.3988002147112224 5.7774616235549745
1.9792033717615698 -4.2848822485141991 1.690622175981038 4.0395428349283424 3.2341498249668428 8.4663174150885112
2.0420352248333655 -4.7294438281388071 -0.59824761605542509 4.4841046117997125 5.5230197554929372 11.061617833259119
2.1048670779051615 -4.1003312243068075 -2.8573825948069453 3.8549920753879166 7.7821549734786259 13.28483829294229
2.1676989309769574 -2.5231614725801377 -4.6605992675052832 2.2778222325380488 9.5853718880869963 15.033201212741668
2.2305307840487534 -0.25695222262756001 -5.6627494915426064 0.01161276461616134 10.587522270752652 16.252490870658068
2.2933626371205489 2.3240474242480769 -5.6348139017403653 -2.5693871614938382 10.559586709573511 16.91757409336984
2.3561944901923448 4.7694838641493265 -4.5156720381622772 -5.0148238726408847 9.4404447398668676 17.044232848978549
2.4190263432641408 6.6332863777962547 -2.4488845099851497 -6.8786265960613076 7.3736569952557343 16.70491286524058
2.4818581963359367 7.5782370172759039 0.23275488148732926 -7.8235773519799903 4.6920173148509212 16.034366445688622
2.5446900494077322 7.4620006739628542 3.0857704199993563 -7.7073410192422385 1.8390014551000102 15.22049145911677
2.6075219024795286 6.3655854463756656 5.6727791661531635 -6.6109256989419221 -0.7480076073573555 14.478133315294455
2.6703537555513241 4.5526383448224461 7.672170072215434 -4.7979784160582097 -2.7473987931608228 14.00005175523221
2.7331856086231197 2.3796507557377611 8.9406885923905275 -2.6249905814661019 -4.0159175331232086 13.889567207287264
2.7960174616949161 0.19506088977883085 9.5132853873489207 -0.44040043671101081 -4.5885144756104852 14.116110316671026
2.8588493147667116 -1.7369937581468431 9.5522186855701019 1.4916544907621554 -4.6274478499450566 14.542596486652291
2.9216811678385075 -3.2692811668361133 9.2743697257915976 3.0239421508653193 -4.3495989080664357 15.00723762265423
2.9845130209103035 -4.3614874215591737 8.886599704769349 4.116148607432347 -3.9618288685975354 15.393259221002085
3.0473448739820994 -5.0425834495981814 8.5471433991668455 4.7972447747665887 -3.6223725327763341 15.649898961425418
3.1101767270538954 -5.3647427957070892 8.3547518390580944 5.1194041915330857 -3.4299809516042559 15.773308625566472
